Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold1,mobilenet,128,16,0.001,200,10,0.9800991583073908,0.9615384615384616,0.9685314685314685,0.9615384615384616,0.9628205128205128,450.3,20251129_154311,../models/mobilenet_20251129_154311_img128_bs16_lr0.001.pth
orFold1,mobilenet,128,16,0.0001,200,10,0.8969734263728911,0.9230769230769231,0.9284965034965035,0.9230769230769231,0.9206640399074609,498.47,20251129_155130,../models/mobilenet_20251129_155130_img128_bs16_lr0.0001.pth
orFold1,mobilenet,128,32,0.001,200,10,0.9579867137470823,0.9807692307692307,0.9826923076923078,0.9807692307692307,0.9811176743877348,253.57,20251129_155544,../models/mobilenet_20251129_155544_img128_bs32_lr0.001.pth
orFold1,mobilenet,128,32,0.0001,200,10,0.9358600583090378,0.9230769230769231,0.9318681318681319,0.9230769230769231,0.9207214354273178,616.19,20251129_160600,../models/mobilenet_20251129_160600_img128_bs32_lr0.0001.pth
orFold1,mobilenet,224,16,0.001,200,10,0.9586134162371389,0.9807692307692307,0.9813701923076923,0.9807692307692307,0.9805037957211871,563.15,20251129_161524,../models/mobilenet_20251129_161524_img224_bs16_lr0.001.pth
orFold1,mobilenet,224,16,0.0001,200,10,0.9358600583090378,0.9807692307692307,0.9813701923076923,0.9807692307692307,0.9805037957211871,767.45,20251129_162812,../models/mobilenet_20251129_162812_img224_bs16_lr0.0001.pth
orFold1,mobilenet,224,32,0.001,200,10,0.9579867137470823,0.9423076923076923,0.9486596736596737,0.9423076923076923,0.9433398212621307,616.36,20251129_163829,../models/mobilenet_20251129_163829_img224_bs32_lr0.001.pth
orFold1,mobilenet,224,32,0.0001,200,10,0.9375930192256722,1.0,1.0,1.0,1.0,1007.79,20251129_165517,../models/mobilenet_20251129_165517_img224_bs32_lr0.0001.pth
orFold1,vgg16,128,16,0.001,200,10,0.46499612503229143,0.5961538461538461,0.35539940828402367,0.5961538461538461,0.4453197405004634,377.54,20251129_170136,../models/vgg16_20251129_170136_img128_bs16_lr0.001.pth
orFold1,vgg16,128,16,0.0001,200,10,0.6486118362806748,0.5961538461538461,0.5709401709401709,0.5961538461538461,0.5560016906170753,813.53,20251129_171512,../models/vgg16_20251129_171512_img128_bs16_lr0.0001.pth
orFold1,vgg16,128,32,0.001,200,10,0.46499612503229143,0.5961538461538461,0.35539940828402367,0.5961538461538461,0.4453197405004634,5017.24,20251129_183856,../models/vgg16_20251129_183856_img128_bs32_lr0.001.pth
orFold1,vgg16,128,32,0.0001,200,10,1.0,1.0,1.0,1.0,1.0,11191.37,20251129_214531,../models/vgg16_20251129_214531_img128_bs32_lr0.0001.pth
