Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold1,mobilenet,128,16,0.001,200,10,0.980099158,0.961538462,0.968531469,0.961538462,0.962820513,450.3,20251129_154311,../models/mobilenet_20251129_154311_img128_bs16_lr0.001.pth
orFold1,mobilenet,128,16,0.0001,200,10,0.896973426,0.923076923,0.928496503,0.923076923,0.92066404,498.47,20251129_155130,../models/mobilenet_20251129_155130_img128_bs16_lr0.0001.pth
orFold1,mobilenet,128,32,0.001,200,10,0.957986714,0.980769231,0.982692308,0.980769231,0.981117674,253.57,20251129_155544,../models/mobilenet_20251129_155544_img128_bs32_lr0.001.pth
orFold1,mobilenet,128,32,0.0001,200,10,0.935860058,0.923076923,0.931868132,0.923076923,0.920721435,616.19,20251129_160600,../models/mobilenet_20251129_160600_img128_bs32_lr0.0001.pth
orFold1,vgg16,128,16,0.001,200,10,0.464996125,0.596153846,0.355399408,0.596153846,0.445319741,377.54,20251129_170136,../models/vgg16_20251129_170136_img128_bs16_lr0.001.pth
orFold1,vgg16,128,16,0.0001,200,10,0.648611836,0.596153846,0.570940171,0.596153846,0.556001691,813.53,20251129_171512,../models/vgg16_20251129_171512_img128_bs16_lr0.0001.pth
orFold1,vgg16,128,32,0.001,200,10,0.464996125,0.596153846,0.355399408,0.596153846,0.445319741,5017.24,20251129_183856,../models/vgg16_20251129_183856_img128_bs32_lr0.001.pth
orFold1,vgg16,128,32,0.0001,200,10,1,1,1,1,1,11191.37,20251129_214531,../models/vgg16_20251129_214531_img128_bs32_lr0.0001.pth
orFold1,resnet50,128,16,0.001,200,10,0.92250688,0.961538462,0.9640625,0.961538462,0.960448908,255.66,20251129_223948,../models/resnet50_20251129_223948_img128_bs16_lr0.001.pth
orFold1,resnet50,128,16,0.0001,200,10,0.95942029,0.961538462,0.963869464,0.961538462,0.960391171,678.71,20251129_225107,../models/resnet50_20251129_225107_img128_bs16_lr0.0001.pth
orFold1,resnet50,128,32,0.001,200,10,0.979315461,0.980769231,0.981370192,0.980769231,0.980503796,436.74,20251129_225825,../models/resnet50_20251129_225825_img128_bs32_lr0.001.pth
orFold1,resnet50,128,32,0.0001,200,10,0.979315461,1,1,1,1,734.38,20251129_231040,../models/resnet50_20251129_231040_img128_bs32_lr0.0001.pth
