Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold1,resnet50,128,16,0.001,200,10,1.0,1.0,1.0,1.0,1.0,563.63,20251130_113513,../models/resnet50_pretrained_20251130_113513_img128_bs16_lr0.001.pth
orFold1,resnet50,128,16,0.0001,200,10,1.0,0.9807692307692307,0.9813701923076923,0.9807692307692307,0.9805037957211871,314.06,20251130_114028,../models/resnet50_pretrained_20251130_114028_img128_bs16_lr0.0001.pth
orFold1,resnet50,128,32,0.001,200,10,1.0,1.0,1.0,1.0,1.0,321.26,20251130_114550,../models/resnet50_pretrained_20251130_114550_img128_bs32_lr0.001.pth
orFold1,resnet50,128,32,0.0001,200,10,1.0,1.0,1.0,1.0,1.0,386.9,20251130_115217,../models/resnet50_pretrained_20251130_115217_img128_bs32_lr0.0001.pth
orFold1,mobilenet,128,16,0.001,200,10,1.0,0.9807692307692307,0.9813701923076923,0.9807692307692307,0.9805037957211871,198.52,20251130_115537,../models/mobilenet_pretrained_20251130_115537_img128_bs16_lr0.001.pth
orFold1,mobilenet,128,16,0.0001,200,10,1.0,0.9423076923076923,0.9473981900452488,0.9423076923076923,0.9395181741335588,330.93,20251130_120108,../models/mobilenet_pretrained_20251130_120108_img128_bs16_lr0.0001.pth
orFold1,mobilenet,128,32,0.001,200,10,1.0,1.0,1.0,1.0,1.0,180.94,20251130_120409,../models/mobilenet_pretrained_20251130_120409_img128_bs32_lr0.001.pth
orFold1,mobilenet,128,32,0.0001,200,10,1.0,0.9615384615384616,0.9638694638694639,0.9615384615384616,0.9603911713286712,259.57,20251130_120829,../models/mobilenet_pretrained_20251130_120829_img128_bs32_lr0.0001.pth
orFold1,vgg16,128,16,0.001,200,10,0.46499612503229143,0.5961538461538461,0.35539940828402367,0.5961538461538461,0.4453197405004634,413.27,20251130_121538,../models/vgg16_pretrained_20251130_121538_img128_bs16_lr0.001.pth
orFold1,vgg16,128,16,0.0001,200,10,0.9793154610382999,1.0,1.0,1.0,1.0,2147.65,20251130_125128,../models/vgg16_pretrained_20251130_125128_img128_bs16_lr0.0001.pth
orFold1,vgg16,128,32,0.001,200,10,0.46499612503229143,0.5961538461538461,0.35539940828402367,0.5961538461538461,0.4453197405004634,2021.45,20251130_132512,../models/vgg16_pretrained_20251130_132512_img128_bs32_lr0.001.pth
orFold1,vgg16,128,32,0.0001,200,10,1.0,1.0,1.0,1.0,1.0,4057.23,20251130_143252,../models/vgg16_pretrained_20251130_143252_img128_bs32_lr0.0001.pth
