Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,TrainLoss,ValLoss,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold2,resnet50,224,16,0.001,5,10,1.0,0.87,1.0,0.870755097797716,1.0,0.87,1.0,0.8698844874787002,1.0,60.159966960549355,0.19839661847800016,1.0,1.0,1.0,1.0,675.5,20251209_135451,../models/orFold2/resnet50_pretrained_20251209_135451_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.0001,1,10,0.9793154610382999,0.8936666666666667,0.9795918367346939,0.8946598883242168,0.9802501645819618,0.8936666666666667,0.9795918367346939,0.8934251021837554,0.9793154610382999,61.22520646825433,0.21269905660301447,1.0,1.0,1.0,1.0,522.55,20251209_140335,../models/orFold2/resnet50_pretrained_20251209_140335_img224_bs16_lr0.0001.pth
orFold2,resnet50,224,32,0.001,5,10,1.0,0.9233333333333333,1.0,0.9236293856666434,1.0,0.9233333333333333,1.0,0.9231905023763302,1.0,16.9391017742455,0.037644095718860626,1.0,1.0,1.0,1.0,3433.95,20251209_150050,../models/orFold2/resnet50_pretrained_20251209_150050_img224_bs32_lr0.001.pth
orFold2,resnet50,224,32,0.0001,1,10,1.0,0.861,1.0,0.8724072499024565,1.0,0.861,1.0,0.8611698598934251,1.0,38.726091388612986,0.057226868346333504,1.0,1.0,1.0,1.0,795.87,20251209_151406,../models/orFold2/resnet50_pretrained_20251209_151406_img224_bs32_lr0.0001.pth
orFold2,mobilenet,224,16,0.001,6,10,1.0,0.916,1.0,0.9157626118298888,1.0,0.916,1.0,0.915823661864326,1.0,39.23146768659353,0.1568125597946164,0.9807692307692307,0.9822485207100592,0.9807692307692307,0.9809962168978562,425.78,20251209_152112,../models/orFold2/mobilenet_pretrained_20251209_152112_img224_bs16_lr0.001.pth
orFold2,mobilenet,224,16,0.0001,2,10,1.0,0.9493333333333334,1.0,0.9492592648149537,1.0,0.9493333333333334,1.0,0.9492923164103109,1.0,28.58104823064059,0.15431318042101339,0.9807692307692307,0.9826923076923078,0.9807692307692307,0.9811176743877348,317.63,20251209_152630,../models/orFold2/mobilenet_pretrained_20251209_152630_img224_bs16_lr0.0001.pth
orFold2,mobilenet,224,32,0.001,1,10,1.0,0.9263333333333333,1.0,0.926271355752824,1.0,0.9263333333333333,1.0,0.9262354348940098,1.0,18.925538213923573,0.08631322160363197,0.9615384615384616,0.967032967032967,0.9615384615384616,0.9623767258382644,281.98,20251209_153113,../models/orFold2/mobilenet_pretrained_20251209_153113_img224_bs32_lr0.001.pth
orFold2,mobilenet,224,32,0.0001,1,10,1.0,0.8923333333333333,1.0,0.8973004129306346,1.0,0.8923333333333333,1.0,0.8914974197162588,1.0,35.39462597668171,0.13944047316908836,1.0,1.0,1.0,1.0,281.62,20251209_153554,../models/orFold2/mobilenet_pretrained_20251209_153554_img224_bs32_lr0.0001.pth
orFold2,simplecnn,224,16,0.001,24,10,0.9793154610382999,0.8663333333333333,0.9795918367346939,0.8676276887594756,0.9802501645819618,0.8663333333333333,0.9795918367346939,0.8661925400942456,0.9793154610382999,63.87486597150564,0.4955714283423731,0.9615384615384616,0.967032967032967,0.9615384615384616,0.9623767258382644,1413.5,20251209_155928,../models/orFold2/simplecnn_pretrained_20251209_155928_img224_bs16_lr0.001.pth
orFold2,simplecnn,224,16,0.0001,9,10,0.9793154610382999,0.788,0.9795918367346939,0.7879178858941189,0.9802501645819618,0.788,0.9795918367346939,0.7875270039934308,0.9793154610382999,94.80190579593182,0.46643260319251567,0.9807692307692307,0.9813701923076923,0.9807692307692307,0.9805037957211871,985.77,20251209_161555,../models/orFold2/simplecnn_pretrained_20251209_161555_img224_bs16_lr0.0001.pth
orFold2,simplecnn,224,32,0.001,18,10,0.9793154610382999,0.8523333333333334,0.9795918367346939,0.8525263981174663,0.9802501645819618,0.8523333333333334,0.9795918367346939,0.8521084892016525,0.9793154610382999,33.78430117666721,0.2029951997101307,0.9615384615384616,0.967032967032967,0.9615384615384616,0.9623767258382644,2602.77,20251209_165918,../models/orFold2/simplecnn_pretrained_20251209_165918_img224_bs32_lr0.001.pth
orFold2,simplecnn,224,32,0.0001,18,10,0.9793154610382999,0.829,0.9795918367346939,0.8285171410569313,0.9802501645819618,0.829,0.9795918367346939,0.8286485057436415,0.9793154610382999,39.82892028987408,0.30843910574913025,0.9423076923076923,0.9538461538461539,0.9423076923076923,0.9440460669274228,2644.74,20251209_174323,../models/orFold2/simplecnn_pretrained_20251209_174323_img224_bs32_lr0.0001.pth
