Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,TrainLoss,ValLoss,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold1,resnet50,224,32,0.001,16,10,1,0.951333333,1,0.951256375,1,0.951333333,1,0.951256905,1,11.48769081,0.018553777,1,1,1,1,1120.88,20251203_151339,../models/resnet50_pretrained_20251203_151339_img224_bs32_lr0.001.pth
orFold1,mobilenet,224,16,0.001,5,10,1,0.903,1,0.903628443,1,0.903,1,0.903117021,1,45.47373996,0.076484284,0.980769231,0.982248521,0.980769231,0.980996217,436.57,20251203_152935,../models/mobilenet_pretrained_20251203_152935_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,2,10,1,0.852,1,0.851750439,1,0.852,1,0.851757427,1,67.99022738,0.392586509,0.980769231,0.981370192,0.980769231,0.980503796,572.3,20251203_144515,../models/resnet50_pretrained_20251203_144515_img224_bs16_lr0.001.pth
orFold1,resnet50,224,32,0.0001,2,10,1,0.920333333,1,0.920574246,1,0.920333333,1,0.920163808,1,20.5034509,0.065882351,0.980769231,0.981370192,0.980769231,0.980503796,518.1,20251203_152218,../models/resnet50_pretrained_20251203_152218_img224_bs32_lr0.0001.pth
orFold1,mobilenet,224,32,0.001,1,10,1,0.817,1,0.816897356,1,0.817,1,0.816843771,1,40.78614846,0.048193628,0.980769231,0.981370192,0.980769231,0.980503796,312.45,20251203_154128,../models/mobilenet_pretrained_20251203_154128_img224_bs32_lr0.001.pth
orFold1,mobilenet,224,32,0.0001,7,10,1,0.951666667,1,0.95155127,1,0.951666667,1,0.951585399,1,11.99098113,0.091269173,0.980769231,0.981370192,0.980769231,0.980503796,472.1,20251203_154920,../models/mobilenet_pretrained_20251203_154920_img224_bs32_lr0.0001.pth
orFold1,resnet50,224,16,0.0001,3,10,1,0.93,1,0.92986674,1,0.93,1,0.929894604,1,36.5574565,0.291943397,0.961538462,0.963869464,0.961538462,0.960391171,581.08,20251203_145457,../models/resnet50_pretrained_20251203_145457_img224_bs16_lr0.0001.pth
orFold1,mobilenet,224,16,0.0001,4,10,1,0.915666667,1,0.915791365,1,0.915666667,1,0.915538129,1,43.26934741,0.292130947,0.961538462,0.963869464,0.961538462,0.960391171,399.44,20251203_153615,../models/mobilenet_pretrained_20251203_153615_img224_bs16_lr0.0001.pth
orFold1,simplecnn,224,16,0.0001,8,10,0.979315461,0.795333333,0.979591837,0.795580447,0.980250165,0.795333333,0.979591837,0.795161715,0.979315461,97.64592569,0.515454583,0.961538462,0.963869464,0.961538462,0.960391171,398.03,20251203_194656,../models/simplecnn_pretrained_20251203_194656_img224_bs16_lr0.0001.pth
orFold1,resnet50,224,16,0.005,31,10,1,0.904666667,1,0.905006248,1,0.904666667,1,0.904703457,1,47.62108124,0.21520828,0.943396226,0.944674376,0.943396226,0.943443514,1831.59,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,mobilenet,224,32,0.005,5,10,1,0.902333333,1,0.902727572,1,0.902333333,1,0.9022313,1,23.28990372,0.159519337,0.943396226,0.942824471,0.943396226,0.942601123,409.43,20251204_114136,../models/mobilenet_pretrained_20251204_114136_img224_bs32_lr0.005.pth
orFold1,simplecnn,224,32,0.0001,23,10,0.979315461,0.843333333,0.979591837,0.843634131,0.980250165,0.843333333,0.979591837,0.843285149,0.979315461,36.61540928,0.186951157,0.923076923,0.922727273,0.923076923,0.920782343,718.77,20251203_200611,../models/simplecnn_pretrained_20251203_200611_img224_bs32_lr0.0001.pth
orFold1,simplecnn,224,32,0.001,10,10,0.979315461,0.809666667,0.979591837,0.809800792,0.980250165,0.809666667,0.979591837,0.809703339,0.979315461,42.92673714,0.126440777,0.923076923,0.928496503,0.923076923,0.92066404,434.93,20251203_195412,../models/simplecnn_pretrained_20251203_195412_img224_bs32_lr0.001.pth
